ONS ID,Constituency name,First party,Second party,Con,Lab,LD,BRX,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,other,Of which other winner,q,r
W07000049,Aberavon,Lab,Con,6518,17008,1072,3108,450,0,2711,0,0,0,0,0,731,0,-12,-8
W07000058,Aberconwy,Con,Lab,14687,12653,1821,0,0,0,2704,0,0,0,0,0,0,0,-12,0
S14000001,Aberdeen North,SNP,Con,7535,4939,2846,1008,880,20205,0,0,0,0,0,0,0,0,-4,25
S14000002,Aberdeen South,SNP,Con,16398,3834,5018,0,0,20388,0,0,0,0,0,0,0,0,-3,24
S14000003,Airdrie and Shotts,SNP,Lab,7011,12728,1419,0,685,17929,0,0,0,0,0,0,0,0,-7,20
E14000530,Aldershot,Con,Lab,27980,11282,6920,0,1750,0,0,0,0,0,0,0,0,0,-3,-11
E14000531,Aldridge-Brownhills,Con,Lab,27850,8014,2371,0,771,0,0,0,0,0,0,0,336,0,-3,-1
E14000532,Altrincham and Sale West,Con,Lab,26311,20172,6036,0,1566,0,0,0,0,0,0,0,678,0,-7,3
W07000043,Alyn and Deeside,Lab,Con,18058,18271,2548,2678,0,0,1453,0,0,0,0,0,0,0,-10,1
E14000533,Amber Valley,Con,Lab,29096,12210,2873,0,1388,0,0,0,0,0,0,0,0,0,0,2
S14000004,Angus,SNP,Con,17421,2051,2482,0,0,21216,0,0,0,0,0,0,0,0,-5,23
W07000057,Arfon,PC,Lab,4428,10353,0,1159,0,0,13134,0,0,0,0,0,0,0,-13,-1
S14000005,Argyll and Bute,SNP,Con,16930,3248,6832,0,0,21040,0,0,0,0,0,0,0,0,-8,23
E14000534,Arundel and South Downs,Con,LD,35566,9722,13045,0,2519,0,0,0,0,0,0,0,556,0,0,-15
E14000535,Ashfield,Con,Ash,19231,11971,1105,2501,674,0,0,0,0,0,0,0,13498,0,1,2
E14000536,Ashford,Con,Lab,37270,13241,6048,0,2638,0,0,0,0,0,0,0,862,0,12,-13
E14000537,Ashton-Under-Lyne,Lab,Con,14281,18544,1395,3151,1208,0,0,0,0,0,0,0,0,0,-5,6
E14000538,Aylesbury,Con,Lab,32737,15364,10081,0,2394,0,0,0,0,0,0,0,0,0,2,-6
S14000006,"Ayr, Carrick and Cumnock",SNP,Con,17943,6219,2158,0,0,20272,0,0,0,0,0,0,0,0,-8,16
E14000539,Banbury,Con,Lab,34148,17335,8831,0,2607,0,0,0,0,0,0,0,0,0,1,-5
S14000007,Banff and Buchan,Con,SNP,21182,1734,2280,0,0,17064,0,0,0,0,0,0,0,0,-5,24
E14000540,Barking,Lab,Con,11792,27219,1482,3186,820,0,0,0,0,0,0,0,0,0,8,-9
E14000541,Barnsley Central,Lab,BRX,7892,14804,1176,11233,900,0,0,0,0,0,0,0,898,0,-2,6
E14000542,Barnsley East,Lab,BRX,10377,14329,1330,11112,922,0,0,0,0,0,0,0,0,0,-1,6
E14000543,Barrow and Furness,Con,Lab,23876,18087,2025,1355,703,0,0,0,0,0,0,0,0,0,-5,13
E14000544,Basildon and Billericay,Con,Lab,29590,9178,3741,0,1395,0,0,0,0,0,0,0,224,0,8,-5
